## p.12
SSeePeR	n	本
HaSS+eePeR	*	その本
MowR@H	nf	女子教員
HaM+owR@H	*	その女子教員
T+aL:MiyDiyM	n+	生徒たち
HaT+aL:MiyDiyM	*	その生徒たち
T+:MuwNowT	n	絵
HaT+:MuwNowT	*	その絵

## p.54

YowN@T@N	Nm	ヨナタン
AiM+@A	nf	母

MoSHeH	Nm	モーセ
LeH/eM	nm	パン
B@S@R	nm	肉
#PeH		口
#T:MuwN@H		絵

## p.54

D+@ViD	Nm	ダビデ
YowN@T@N	Nm	ヨナタン
MowReH	nm	先生
#TaL:MiyDiyM	nm	生徒たち
AaB+@A	nm	父
AiM+@A	nf	母

LeH/eM	nm	パン
B+@S@R	nm	肉
AoZeN	nf	耳
P+eH	nm	口
SSeePeR	n	本
T:MuwN@H	n	絵

ZeH	pron	これ,この人(男性単数)
AeeL+eH	pron	これら,この人たち(複数)
ZoA_T	pron	これ,この人(女性単数)
Zow	pron	これ,この人(女性単数)

## p.55

Miy	q	誰
MaH	q	何

## p.56

H/@BeeR	nm	友
B+eeN	nm	息子,子
B+aH/uwR@H	nf	若い女性,乙女
Ae:LoHiyM	nm	神

## p.57

AeSS:T+eeR	Nf	エステル

## p.58

RuwT	Nf	[女の名]ルツ

## p.59

TowB	a	良い
G+@DowL	a	大きい
Q@TT@N	a	小さい
H/@D@SH	a	新しい
Y@PeH	a	美しい

## p.61

AaH/eeR	a	他の
MeR:K+@Ziy	a	中心の

MiS:R@D	nm	事務所,官庁
T+aH/a:N@H	nf	駅

## p.62

Z@QeeN	a	年老いた

## p.63

B+oQeR	nm	朝
EeReB	nm	夕方,晩
SH@BuwAE	nm	週
MaZ+@L	nm	運
SH@N@H	nf	年
SH@E@H	nf	時,時間
SSiyM@N	nm	印,徴
N:SSiyE@H	nf	旅行

## p.64

D+@G	nm	魚
Ea:BowD@H	nf	仕事
MiL+owN	nm	辞書
EeeTT	nm	ペン

## p.66

HiN+eeH	*	見よ
N@EiyM	a	楽しい,快い
SHeBeT	v	[inf]座ること
A@H/	nm	兄弟
YaH/aD	adv	一緒に


